# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
    2       1.366755271978e-10       8.090768614167e-09       4.412120170051e-10 
    3       1.295182742018e-10       4.988207077870e-09       3.123988036442e-10 
    4       1.227300112965e-10       3.461818469079e-09       2.360536359741e-10 
    5       1.176677979599e-10       2.576911776827e-09       1.860589505623e-10 
    6       1.142265785779e-10       2.007661037036e-09       1.510608068706e-10 
    7       1.120158707987e-10       1.616466611282e-09       1.253953235684e-10 
    8       1.107738359802e-10       1.333753243178e-09       1.059699190494e-10 
    9       1.102676558794e-10       1.121397069385e-09       9.095247206494e-11 
   10       1.102469817647e-10       9.572142991488e-10       7.909465529103e-11 
   11       1.106754086566e-10       8.070913433785e-10       6.990408830405e-11 
   12       1.113915767664e-10       7.042948537956e-10       6.168866359061e-11 
   13       1.123387875179e-10       6.199858136460e-10       5.504204198974e-11 
   14       1.135069963148e-10       5.499094860602e-10       4.931702525841e-11 
   15       1.148517112439e-10       4.909767262603e-10       4.447918957830e-11 
   16       1.162955394203e-10       4.409150439055e-10       4.030404398629e-11 
   17       1.178759047308e-10       3.980089413796e-10       3.665772511532e-11 
   18       1.195362339393e-10       3.608016217959e-10       3.349990315188e-11 
   19       1.212896931534e-10       3.286928971923e-10       3.077733677554e-11 
   20       1.231281796398e-10       3.004371126653e-10       2.835566891528e-11 
   21       1.250446693729e-10       2.755844874816e-10       2.618768994739e-11 
   22       1.270040845856e-10       2.535347244271e-10       2.422506703499e-11 
   23       1.290202866235e-10       2.339805890527e-10       2.247133319890e-11 
   24       1.310995521507e-10       2.164660370073e-10       2.092046327444e-11 
   25       1.332339798699e-10       2.007820685607e-10       1.953434055799e-11 
   26       1.353983869746e-10       1.866418540402e-10       1.825537560516e-11 
   27       1.375992009593e-10       1.738735297571e-10       1.708373508706e-11 
   28       1.398424523478e-10       1.622547523009e-10       1.602784188369e-11 
   29       1.421352145041e-10       1.517247745239e-10       1.508217096601e-11 
   30       1.444719151625e-10       1.421691050666e-10       1.422550743037e-11 
   31       1.468366020459e-10       1.333910923467e-10       1.342883427871e-11 
   32       1.492335512722e-10       1.253444052255e-10       1.268756624592e-11 
   33       1.516655204989e-10       1.179712191553e-10       1.199989877364e-11 
   34       1.541278086768e-10       1.111672497819e-10       1.136038370604e-11 
   35       1.566196954381e-10       1.048969597169e-10       1.076881879644e-11 
   36       1.591352045235e-10       9.910932651858e-11       1.022369239101e-11 
   37       1.616646818200e-10       9.372819810990e-11       9.720781060000e-12 
   38       1.642138831121e-10       8.873923058423e-11       9.257710791450e-12 
   39       1.667900731874e-10       8.412621318321e-11       8.830367712603e-12 
   40       1.693962826200e-10       7.984463793044e-11       8.431324320505e-12 
   41       1.720324104490e-10       7.583710731356e-11       8.052254543979e-12 
   42       1.747001552553e-10       7.209151551318e-11       7.692786083624e-12 
   43       1.773988551902e-10       6.859765804622e-11       7.354066562464e-12 
   44       1.801236495983e-10       6.532977988661e-11       7.036233332082e-12 
   45       1.828681933779e-10       6.225570667829e-11       6.738645346736e-12 
   46       1.856346776693e-10       5.937040669598e-11       6.460874193756e-12 
   47       1.884261481332e-10       5.667035984964e-11       6.201855773609e-12 
   48       1.912434623578e-10       5.414343891106e-11       5.959524003716e-12 
   49       1.940850822876e-10       5.176827043182e-11       5.730739092339e-12 
   50       1.969486012138e-10       4.952063597015e-11       5.512181491928e-12 
   51       1.998362949430e-10       4.739620683440e-11       5.303486228788e-12 
   52       2.027507186320e-10       4.539287573622e-11       5.104835368787e-12 
   53       2.056929809667e-10       4.350395536753e-11       4.916041037703e-12 
   54       2.086626182181e-10       4.171787062713e-11       4.736519138853e-12 
   55       2.116585136685e-10       4.002166634674e-11       4.565535719742e-12 
   56       2.146822118880e-10       3.841325597925e-11       4.403077952853e-12 
   57       2.177352071946e-10       3.689167665830e-11       4.249153489549e-12 
   58       2.208178870582e-10       3.545338463942e-11       4.103521449247e-12 
   59       2.239294468851e-10       3.409209618244e-11       3.965676759739e-12 
   60       2.270678048028e-10       3.279862843393e-11       3.834834497504e-12 
   61       2.302306913699e-10       3.156343568213e-11       3.710150557753e-12 
   62       2.334193973129e-10       3.038524333995e-11       3.591476972028e-12 
   63       2.366357196215e-10       2.926407841493e-11       3.478749112926e-12 
   64       2.398808138672e-10       2.819867301094e-11       3.371756325364e-12 
   65       2.431551462672e-10       2.718639073272e-11       3.270133765460e-12 
   66       2.464584457488e-10       2.622315309047e-11       3.173354239413e-12 
   67       2.497896560132e-10       2.530336590441e-11       3.080720042383e-12 
   68       2.531476419187e-10       2.442140555390e-11       2.991543969318e-12 
   69       2.565335819882e-10       2.357659193807e-11       2.905753180713e-12 
   70       2.599489768000e-10       2.276909558770e-11       2.823393597155e-12 
   71       2.633949094317e-10       2.199843387984e-11       2.744448290276e-12 
   72       2.668720168164e-10       2.126343733606e-11       2.668834159788e-12 
   73       2.703804610988e-10       2.056221592076e-11       2.596398610520e-12 
   74       2.739199009912e-10       1.989212533947e-11       2.526916229458e-12 
   75       2.774894631294e-10       1.924973333710e-11       2.460085462782e-12 
   76       2.810882454727e-10       1.863166742052e-11       2.395606488783e-12 
   77       2.847169967998e-10       1.803741099263e-11       2.333438576416e-12 
   78       2.883766928593e-10       1.746695824656e-11       2.273583838207e-12 
   79       2.920680140497e-10       1.691996260106e-11       2.216008566622e-12 
   80       2.957913276846e-10       1.639572107307e-11       2.160641576085e-12 
   81       2.995466702595e-10       1.589315865037e-11       2.107372545010e-12 
   82       3.033337297174e-10       1.541081266415e-11       2.056050357824e-12 
   83       3.071518277150e-10       1.494681716163e-11       2.006481446989e-12 
   84       3.110002519252e-10       1.449935385502e-11       1.958478388413e-12 
   85       3.148793550848e-10       1.406812509481e-11       1.912018575679e-12 
   86       3.187896064787e-10       1.365309756755e-11       1.867108933132e-12 
   87       3.227312464264e-10       1.325404975955e-11       1.823737199903e-12 
   88       3.267042744314e-10       1.287056417112e-11       1.781871116533e-12 
