# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
    2       1.083643250535e-10       9.590680169478e-09       1.730943979795e-10 
    3       1.071132339641e-10       5.929948912018e-09       1.371269868297e-10 
    4       1.049340640609e-10       4.121060428931e-09       1.099948570150e-10 
    5       1.031901776859e-10       3.073603220607e-09       9.006013871345e-11 
    6       1.021203524218e-10       2.396429626348e-09       7.506168584470e-11 
    7       1.016341657476e-10       1.928895347650e-09       6.348504666011e-11 
    8       1.016316490096e-10       1.591854239190e-09       5.447211340122e-11 
    9       1.020645431071e-10       1.340010520016e-09       4.739701652323e-11 
   10       1.027593087690e-10       1.145599046080e-09       4.172028227209e-11 
   11       1.036802781082e-10       9.487240858720e-10       3.737103965639e-11 
   12       1.048091166623e-10       8.278801879979e-10       3.332326144945e-11 
   13       1.060474960420e-10       7.288396033040e-10       2.989882025062e-11 
   14       1.074120445165e-10       6.465726622723e-10       2.716024964995e-11 
   15       1.089062313018e-10       5.774321924043e-10       2.461347563694e-11 
   16       1.104456244617e-10       5.187227333230e-10       2.243428777300e-11 
   17       1.120435525731e-10       4.684220813889e-10       2.054769618405e-11 
   18       1.137039301965e-10       4.248085073882e-10       1.890844057192e-11 
   19       1.154420524990e-10       3.871915686545e-10       1.748554332193e-11 
   20       1.172294002351e-10       3.540900706849e-10       1.619791084850e-11 
   21       1.190600023802e-10       3.249745396659e-10       1.503595076458e-11 
   22       1.209104116283e-10       2.991444732439e-10       1.399561262013e-11 
   23       1.228006053434e-10       2.762388242521e-10       1.306909563147e-11 
   24       1.247408431641e-10       2.557205763150e-10       1.223411533053e-11 
   25       1.267136807835e-10       2.373446731901e-10       1.147117518967e-11 
   26       1.286844793892e-10       2.207754066629e-10       1.075898894431e-11 
   27       1.306741789196e-10       2.058116232420e-10       1.011233010750e-11 
   28       1.327093697544e-10       1.921927894733e-10       9.548822344772e-12 
   29       1.347934321121e-10       1.798477480510e-10       9.054588579596e-12 
   30       1.369079885208e-10       1.686421324909e-10       8.595888656043e-12 
   31       1.390251797046e-10       1.583451798078e-10       8.137067415653e-12 
   32       1.411515766411e-10       1.489029526214e-10       7.688291256773e-12 
   33       1.432983763813e-10       1.402481879091e-10       7.275385092440e-12 
   34       1.454704706226e-10       1.322590778323e-10       6.920194913558e-12 
   35       1.476716269101e-10       1.248941911712e-10       6.614708950966e-12 
   36       1.498995083452e-10       1.180937912073e-10       6.337198253022e-12 
   37       1.521472829614e-10       1.117686201785e-10       6.065015169667e-12 
   38       1.544169390494e-10       1.059020591644e-10       5.797138585409e-12 
   39       1.567092020747e-10       1.004752996361e-10       5.538703808317e-12 
   40       1.590192377272e-10       9.543628199291e-11       5.294933174909e-12 
   41       1.613400766941e-10       9.071778540302e-11       5.070061929798e-12 
   42       1.636756053513e-10       8.630574953640e-11       4.863759027849e-12 
   43       1.660308408852e-10       8.218831385879e-11       4.673496582424e-12 
   44       1.684080073213e-10       7.833531824828e-11       4.495400199577e-12 
   45       1.708074102886e-10       7.470904794102e-11       4.325361775028e-12 
   46       1.732310752502e-10       7.130373039359e-11       4.163007010201e-12 
   47       1.756796901660e-10       6.811536948257e-11       4.008746264786e-12 
   48       1.781513028105e-10       6.512983563814e-11       3.862638003691e-12 
   49       1.806410903767e-10       6.232211238174e-11       3.724359940565e-12 
   50       1.831437098461e-10       5.966382363631e-11       3.593371160091e-12 
   51       1.856616357306e-10       5.714997242898e-11       3.469517311026e-12 
   52       1.881986872642e-10       5.477815770112e-11       3.352539805780e-12 
   53       1.907575390802e-10       5.254057273448e-11       3.241879801351e-12 
   54       1.933396122639e-10       5.042364137227e-11       3.136658330085e-12 
   55       1.959455168664e-10       4.841215545999e-11       3.035940512980e-12 
   56       1.985767577651e-10       4.650372417136e-11       2.939650580274e-12 
   57       2.012342617456e-10       4.469727701782e-11       2.847849359082e-12 
   58       2.039177776113e-10       4.298869281487e-11       2.760461496904e-12 
   59       2.066257887210e-10       4.137061127536e-11       2.677266660535e-12 
   60       2.093554255274e-10       3.983224460278e-11       2.597890734979e-12 
   61       2.121037605581e-10       3.836237255594e-11       2.521923033964e-12 
   62       2.148722308903e-10       3.695953946543e-11       2.449318585904e-12 
   63       2.176630576626e-10       3.562382213231e-11       2.380070938594e-12 
   64       2.204779084939e-10       3.435376266086e-11       2.314089407909e-12 
   65       2.233178538846e-10       3.314628106104e-11       2.251194274972e-12 
   66       2.261833236192e-10       3.199658785083e-11       2.191111983318e-12 
   67       2.290740631684e-10       3.089809665873e-11       2.133470336055e-12 
   68       2.319896612285e-10       2.984418391472e-11       2.077898719385e-12 
   69       2.349313539240e-10       2.883407732763e-11       2.024363090913e-12 
   70       2.379005095427e-10       2.786800904567e-11       1.972890552636e-12 
   71       2.408980612727e-10       2.694543470059e-11       1.923468251570e-12 
   72       2.439244782116e-10       2.606499325028e-11       1.876041263009e-12 
   73       2.469797363759e-10       2.522446682127e-11       1.830510473784e-12 
   74       2.500632897098e-10       2.442074055127e-11       1.786730465523e-12 
   75       2.531740410946e-10       2.364976243169e-11       1.744507397916e-12 
   76       2.563108835229e-10       2.290754990581e-11       1.703649859805e-12 
   77       2.594745016364e-10       2.219351034775e-11       1.664136807088e-12 
   78       2.626658475632e-10       2.150765594397e-11       1.625976545691e-12 
   79       2.658855828774e-10       2.084959226404e-11       1.589155466622e-12 
   80       2.691340613004e-10       2.021849956767e-11       1.553637015377e-12 
   81       2.724113114010e-10       1.961311411188e-11       1.519360661349e-12 
